Date de sortie;Nom de l'album/ep;Nom de la musique;Collaborateurs;Certifications (desservies par la RRIA);Duree (en min:sec);;
15-fev-19;X;Please Me;Cardi B;3 singles de Platine;03:20;;
05-juil-19;X;BLOW;Ed Sheeran, Chris Stapleton;X;03:29;;
05-mars-21;Leave The Door Open (Live);Leave The Door Open;Anderson .Paak, Silk Sonic;1 single d'Or, 2 singles de Platine;04:02;;
15-mars-21;Leave The Door Open (Live);Leave The Door Open - Live;Anderson .Paak, Silk Sonic;X;04:20;;
12-nov-21;An Evening With Silk Sonic;Silk Sonic Intro;Anderson .Paak, Silk Sonic;X;01:03;;
12-nov-21;An Evening With Silk Sonic;Leave The Door Open;Anderson .Paak, Silk Sonic;X;04:02;;
12-nov-21;An Evening With Silk Sonic;Fly As Me;Anderson .Paak, Silk Sonic;X;03:39;;
12-nov-21;An Evening With Silk Sonic;After Last Night;Anderson .Paak, Silk Sonic, Thundercat, Bootsy Collins;X;04:09;;
12-nov-21;An Evening With Silk Sonic;Smokin' Out The Window;Anderson .Paak, Silk Sonic;X;03:17;;
12-nov-21;An Evening With Silk Sonic;Put On A Smile;Anderson .Paak, Silk Sonic;X;04:15;;
12-nov-21;An Evening With Silk Sonic;777;Anderson .Paak, Silk Sonic;X;02:45;;
12-nov-21;An Evening With Silk Sonic;Skate;Anderson .Paak, Silk Sonic;X;03:23;;
12-nov-21;An Evening With Silk Sonic;Love's Train;Anderson .Paak, Silk Sonic;X;05:07;;
12-nov-21;An Evening With Silk Sonic;Blast Off;Anderson .Paak, Silk Sonic;X;04:44;;
14-fev-22;X;Love's Train;Anderson .Paak, Silk Sonic;X;05:07;;
